SMILES	RT
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C	21.1245145
CC(C)C(C(=O)O)NC(=O)C1CCCN1C(=O)C(CO)N	113.3495368
CCCCCCCCCCCCCCCCCCNCCO	32.43853131
C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCN=C(N)N)C(=O)O	137.8792825
CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O	13.60454979
CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	93.30708609
CSCCC(C(=O)O)NC(=O)CCC(C(=O)O)N	125.4073208
COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O	85.16215365
C(CC(=O)O)C(C(=O)NCC(=O)NC(CCC(=O)O)C(=O)O)N	138.3717167
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OS(=O)(=O)O)C)C	29.84050007
C1C(NCC1(C(=O)O)N)C(=O)O	119.4362608
C1=CC2=C(C=C1F)C(=NN2)C(=O)O	12.31867129
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	21.30337764
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O	33.1184986
COC1=C(C2=C3C(CC4=CC(=C(C=C42)OC)OC)NCCC3=C1)OC	36.40119873
CC(C)CC(C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)N	119.5982322
CC(CC1=CC=C(C=C1)C(C)C(=O)O)C(=O)O	17.395113
C(C1C(C(C(=O)O1)O)O)O	117.6058577
C(CCNC(CCC(=O)O)C(=O)O)CC(C(=O)O)N	147.5853239
CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCC=CCC	28.57836176
CCN(CC)C1=CC2=C(C=C1)C3(C4=C(O2)C=C(C=C4)N(CC)CC)C5=CC=CC=C5C(=O)O3	22.75822952
CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C	29.99603326
C1CC(NC1)C(=O)O	118.9022495
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	135.6169614
C1=CC(=CC=C1CC(C(=O)NC(CCCCN)C(=O)O)N)O	138.3227291
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N	120.0233969
COC1=C(C=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)O	46.28724344
CCCN=C(N)NCCCC(C(=O)O)N	54.4530526
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCCCCCCCCC	87.22812455
